client_id,cluster,stopping_point
C_001,2,6
C_002,2,7
C_003,2,8
C_004,4,11
C_005,4,6
C_007,5,5
C_008,4,8
C_009,4,8
C_011,4,7
C_013,2,7
C_015,2,7
C_016,4,6
C_018,2,7
C_019,5,3
C_020,3,4
C_021,5,5
C_022,4,7
C_023,3,7
C_025,5,4
C_026,4,8
C_028,1,11
C_030,5,10
C_031,4,8
C_033,4,8
C_037,1,3
C_038,1,5
C_039,2,7
C_040,4,7
C_041,5,3
C_042,2,9
C_043,4,7
C_044,2,6
C_048,4,5
C_049,5,4
C_050,4,8
C_051,4,11
C_052,4,10
C_053,5,4
C_054,4,8
C_055,4,10
C_057,1,7
C_058,5,4
C_059,5,3
C_060,1,7
C_062,4,7
C_065,4,8
C_066,1,5
C_067,4,7
C_069,1,11
C_070,5,4
C_071,4,8
C_074,5,11
C_076,4,6
C_077,5,7
C_078,1,7
C_079,1,11
C_080,3,10
C_081,2,7
C_082,4,6
C_083,5,3
C_084,4,11
C_087,1,11
C_088,4,5
C_094,4,8
C_095,3,5
C_096,3,4
C_097,1,9
C_098,1,8
C_099,3,4
C_100,5,7
C_102,5,3
C_106,5,2
C_107,4,7
C_111,2,7
C_115,2,8
C_118,3,9
C_119,1,8
client_0001,3,4
client_0002,5,7
client_0003,3,4
